usdid,fwdir,latitude,longitude,abs_pm
1,101N,36.917390999999995,-121.548009,349.3
2,101N,36.917411,-121.548001,349.30145081017696
3,101N,36.91744099999999,-121.54799100000001,349.30359595521395
4,101N,36.91747099999999,-121.54798100000001,349.30574110019666
5,101N,36.91749099999999,-121.54797400000001,349.3071760488172
6,101N,36.917867,-121.547832,349.3343135294269
7,101N,36.91820599999999,-121.54772200000001,349.35851151075775
8,101N,36.919053999999996,-121.547531,349.41804502465857
9,101N,36.919990999999996,-121.54747,349.4828730983246
10,101N,36.92117799999999,-121.547419,349.5649352434914
11,101N,36.926724,-121.54692200000001,349.94910890089017
12,101N,36.92728199999999,-121.54692200000001,349.9876629757593
13,101N,36.927521999999996,-121.546927,350.0042476730365
14,101N,36.92770099999999,-121.54693100000001,350.01661735121354
15,101N,36.927861,-121.546941,350.02768607219485
16,101N,36.92804999999999,-121.54699000000001,350.04102221205545
17,101N,36.928229,-121.54704300000002,350.05373163145583
18,101N,36.928388999999996,-121.547125,350.0656783401985
19,101N,36.92862199999999,-121.547244,350.08306710390514
20,101N,36.928781,-121.547336,350.0951711851547
21,101N,36.928914999999996,-121.54742800000001,350.1057324330991
22,101N,36.929006,-121.54749300000002,350.1129726808497
23,101N,36.929193999999995,-121.547637,350.1282037184176
24,101N,36.929345999999995,-121.547766,350.1408946557329
25,101N,36.929528999999995,-121.54791900000001,350.1561026284776
26,101N,36.929712999999985,-121.548063,350.1710986311519
27,101N,36.929949,-121.54825000000001,350.19040042150016
28,101N,36.930718999999996,-121.548895,350.25442777736
29,101N,36.93140199999999,-121.549444,350.3105201818246
30,101N,36.93166099999999,-121.54967300000001,350.3324336682769
31,101N,36.93188599999999,-121.549853,350.3508865535417
32,101N,36.93261499999999,-121.550455,350.4112395158205
33,101N,36.933151999999986,-121.550894,350.4555620614053
34,101N,36.93327,-121.55098900000002,350.4652574140528
35,101N,36.93362499999999,-121.551241,350.4934589967233
36,101N,36.93399099999999,-121.55147,350.52173345615046
37,101N,36.934224,-121.55161100000001,350.53961667772154
38,101N,36.934449,-121.55172100000001,350.55630753296475
39,101N,36.93468899999999,-121.551815,350.5736835715919
40,101N,36.934996999999996,-121.551948,350.59619630411845
41,101N,36.935259999999985,-121.55205000000001,350.6152209705823
42,101N,36.935919999999996,-121.55225,350.6621411862212
43,101N,36.93627,-121.55234,350.68682936437443
44,101N,36.93670999999999,-121.55241,350.7174752353952
45,101N,36.93695999999999,-121.55244,350.73482784049804
46,101N,36.93728,-121.55245000000001,350.75694460031644
47,101N,36.93746999999999,-121.55244,350.77008394297377
48,101N,36.93809999999999,-121.55249,350.8137002308163
49,101N,36.939589999999995,-121.55253,350.91667298032263
50,101N,36.94017999999999,-121.55256,350.95747169276785
51,101N,36.940906999999996,-121.552574,351.00770848888067
52,101N,36.94169999999999,-121.55259000000001,351.0625066187226
53,101N,36.9429,-121.55263900000001,351.14546275020905
54,101N,36.942999,-121.55264300000002,351.15230655484424
55,101N,36.943909999999995,-121.55268000000001,351.2152837258682
56,101N,36.94659899999999,-121.552749,351.40111473965936
57,101N,36.94662999999999,-121.55275,351.403257344378
58,101N,36.947559999999996,-121.55279,351.4675520861898
59,101N,36.94807,-121.55279,351.50278968150155
60,101N,36.94923,-121.55269000000001,351.5831279214798
61,101N,36.94982999999999,-121.55261000000002,351.6248185983732
62,101N,36.95595999999999,-121.55163,352.05180315429993
63,101N,36.957594,-121.55137200000001,352.1655967342176
64,101N,36.95817999999999,-121.55128,352.20640279029254
65,101N,36.95899,-121.55116,352.2627591696925
66,101N,36.959839999999986,-121.55102,352.32199494364136
67,101N,36.96018,-121.55097,352.3456483066212
68,101N,36.960499999999996,-121.55094000000001,352.3678201202428
69,101N,36.96094999999999,-121.55091000000002,352.39895619938477
70,101N,36.96119999999999,-121.55093000000001,352.4162647857417
71,101N,36.961259999999996,-121.55094000000001,352.4204469852476
72,101N,36.961373,-121.55095400000002,352.4282926956227
73,101N,36.96188999999999,-121.55102,352.46419930305416
74,101N,36.962248999999986,-121.551109,352.4894857796322
75,101N,36.96240999999999,-121.55115,352.5008377592545
76,101N,36.96255,-121.55118,352.5106515905662
77,101N,36.962599999999995,-121.5512,352.51427841661535
78,101N,36.96309999999999,-121.55133000000001,352.5495626980436
79,101N,36.96421,-121.55165000000001,352.62826466688864
80,101N,36.96455999999999,-121.55176000000002,352.65319815246113
81,101N,36.96495999999999,-121.55188,352.68161837097836
82,101N,36.965147,-121.551941,352.6949704667424
83,101N,36.965599999999995,-121.55209,352.7273325663039
84,101N,36.96611,-121.55223,352.7634077829634
