OSHPD_ID,FACILITY_NAME,LICENSE_NUM,FACILITY_LEVEL_DESC,DBA_ADDRESS1,DBA_CITY,DBA_ZIP_CODE,COUNTY_CODE,COUNTY_NAME,ER_SERVICE_LEVEL_DESC,TOTAL_NUMBER_BEDS,FACILITY_STATUS_DESC,FACILITY_STATUS_DATE,LICENSE_TYPE_DESC,LICENSE_CATEGORY_DESC,LATITUDE,LONGITUDE
106010735,ALAMEDA HOSPITAL,140000002,Parent Facility,2070 Clinton Ave,Alameda,94501,01,Alameda,Emergency - Basic,101,Open,1946-01-01,Hospital,General Acute Care Hospital,37.76266000,-122.25399100
106010739,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,140000004,Parent Facility,2450 Ashby Ave,Berkeley,94705,01,Alameda,Emergency - Basic,339,Open,1946-01-02,Hospital,General Acute Care Hospital,37.85645000,-122.25743000
106010776,UCSF BENIOFF CHILDREN'S HOSPITAL OAKLAND,140000015,Parent Facility,747 52ND ST,OAKLAND,94609,01,Alameda,Emergency - Basic,215,Open,1946-01-01,Hospital,General Acute Care Hospital,37.83722000,-122.26747000
106010811,FAIRMONT HOSPITAL,140000046,Consolidated Facility,15400 Foothill Blvd,San Leandro,94578,01,Alameda,None,109,Open,1953-07-01,Hospital,General Acute Care Hospital,37.70648000,-122.11819000
106010844,ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS,140000004,Consolidated Facility,2001 DWIGHT WAY,BERKELEY,94704,01,Alameda,None,68,Open,1946-01-01,Hospital,General Acute Care Hospital,37.86373000,-122.26984000
106010846,HIGHLAND HOSPITAL,140000046,Parent Facility,1411 E 31st St,Oakland,94602,01,Alameda,Emergency - Basic,249,Open,1953-07-01,Hospital,General Acute Care Hospital,37.79925000,-122.23138000
106010887,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,140000066,Parent Facility,2800 BENEDICT DR,SAN LEANDRO,94577,01,Alameda,None,99,Open,1962-11-13,Hospital,General Acute Care Hospital,37.71621000,-122.13119000
106010937,ALTA BATES SUMMIT MEDICAL CENTER,140000284,Parent Facility,350 HAWTHORNE AVE,OAKLAND,94609,01,Alameda,Emergency - Basic,403,Open,1946-01-01,Hospital,General Acute Care Hospital,37.82106000,-122.26257000
106010967,ST. ROSE HOSPITAL,140000107,Parent Facility,27200 CALAROGA AVE,HAYWARD,94545,01,Alameda,Emergency - Basic,153,Open,1962-10-10,Hospital,General Acute Care Hospital,37.63291000,-122.08962000
106010983,VALLEY MEMORIAL HOSPITAL,140000114,Consolidated Facility,1111 E STANLEY BLVD,LIVERMORE,94550,01,Alameda,None,75,Open,1969-10-19,Hospital,General Acute Care Hospital,37.67870000,-121.78252000
